"Orthogroup" "PS_dup_1" "PS_dup_2" "N_dup_1" "N_dup_2" "DN" "C" "SB" "SP"
"122" "OG0001074" 0.909640185603858 0 0 0 0 0.0508264779592151 0.0508264779592151 0
"123" "OG0001075" 0 0 1 0 0 0 0 0
"124" "OG0001076" 0 1 0 0 0 0.483126101904817 0.483126101904817 0
"125" "OG0001078" 1 0 0 0 0 0 0 0
"126" "OG0001079" 1 0 0 0 0 0 0 0
"127" "OG0001081" 0 0 0 0 0 1 1 0
"128" "OG0001082" 0 1 0 0 0 0 0 0
"129" "OG0001084" 0 0 0 0 0 1 0.966493152084028 0
"130" "OG0001086" 0.578223244368813 0 0 0 0 0.209027367119155 0.209027367119155 0
"131" "OG0001087" 0 1 0 0 0 0.991698600482311 0.991698600482311 0
"132" "OG0001088" 0 0 0 0 0 0 0 1
"133" "OG0001089" 0.934168471463834 1 0 0 0 0.000216689507470401 0.000216689507470401 0
"134" "OG0001090" 1 0 0 0 0 0 0 0
"135" "OG0001091" 0 0 0.0357375504128217 0.334593327752741 0 0.0373900368061044 0 0.499696365486942
"136" "OG0001092" 0 1 0 0 0 0.053658537048195 0.053658537048195 0
"137" "OG0001093" 1 0 0 0 0 0 0 0
"138" "OG0001094" 1 0 0 0 0 0 0 0
"139" "OG0001095" 1 0 0 0 0 0 0 0
"140" "OG0001096" 1 0 0 0 0 0 0 0
"141" "OG0001097" 1 0 0 0 0 0 0 0
"142" "OG0001098" 0.0992564201774619 0 0 0.0214151317470324 0 0.365365286146728 0.00905899140614369 0
"143" "OG0001099" 0 1 0 0 0 0.958761353233908 0.958761353233908 0
"144" "OG0001101" 0 1 0 0 0 0.312115422713254 0.312115422713254 0
"145" "OG0001103" 0 0 0 1 0 0 0 0
"146" "OG0001104" 0.945144540988186 1 0 0 0 0.000150456069169842 0.000150456069169842 0
"147" "OG0001105" 0 0 0 0.300008450555606 0 0.153218112284016 0 0
"148" "OG0001106" 0 1 0 0 0 0.474827499323982 0.474827499323982 0
"149" "OG0001107" 0 0 0 0 0 1 1 0
"150" "OG0001109" 0 1 0 0 0 0.627392924001395 0.627392924001395 0
"151" "OG0001111" 0 0 0 0 0 1 1 0
"152" "OG0001112" 0 0 0 0 0 1 1 0
"153" "OG0001113" 1 0 0 0 0 0 0 0
"154" "OG0001114" 0.629556066643107 0 0 0 0 0.13036727237288 0.13036727237288 0
"155" "OG0001115" 0 0 0 0 0 1 1 0
"156" "OG0001116" 0 1 0 0 0 0.175810858563252 0.175810858563252 0
"157" "OG0001117" 0 1 0 0 0 0.234770882905514 0.234770882905514 0
"158" "OG0001118" 0 0 0 0 0 1 1 0
"159" "OG0001120" 0 0 0 0 0 1 1 0
"160" "OG0001121" 0 1 0 0 0 0.177988702009886 0.177988702009886 0
"161" "OG0001122" 1 0 0 0 0 0 0 0
"162" "OG0001127" 0.335876050355739 0 0 0 0 0.393279053271225 0.393279053271225 0
"163" "OG0001128" 0 0 0 0 0 0 0 1
"164" "OG0001129" 1 1 0 0 0 0 0 0
"165" "OG0001130" 0 0.80236136290674 0.00336727387420696 0 0 0.190317663302659 0.177939002848214 0
"166" "OG0001133" 0 0 0 0 0 1 1 0
"167" "OG0001134" 1 0 0 0 0 0 0 0
"168" "OG0001135" 0 0 0 0 0 0.340495405475802 0.340495405475802 0
"169" "OG0001137" 0.56154923712806 0 0 0 0 0.173015164316687 0.173015164316687 0
"170" "OG0001138" 0 1 0 0 0 0.00734375923013902 0.00734375923013902 0
"171" "OG0001139" 1 0 0 0 0 0 0 0
"172" "OG0001140" 1 0 0 0 0 0 0 0
"173" "OG0001141" 0 1 0 0 0 0 0 0
"174" "OG0001142" 1 0 0 0 0 0 0 0
"175" "OG0001143" 0 1 0 0 0 0.706604981595644 0.706604981595644 0
"176" "OG0001144" 1 0 0 0 0 0 0 0
"177" "OG0001145" 0 0.795206662005666 0 0 0 0.0614380013983004 0.0614380013983004 0
"178" "OG0001146" 0 0.459920008033233 0 0 0 0.95324118582134 0.95324118582134 0
"179" "OG0001149" 0 0 0 0 0 1 1 0
"180" "OG0001150" 0 0 0.0335941675427049 0 0 0 0 0
"181" "OG0001151" 0 0 0 0 0 1 1 0
"182" "OG0001152" 0 0 0 0 0 1 1 0
"183" "OG0001153" 0 0 0 0 0 1 1 0
"184" "OG0001154" 0 0 0 0 0 0.759198160136139 0.759198160136139 0
"185" "OG0001155" 0 0 0 0 0 1 1 0
"186" "OG0001156" 1 0 0 0 0 0 0 0
"187" "OG0001157" 1 1 0 0 0 0 0 0
"188" "OG0001158" 0 0 0.0915032373931962 0.114475049543254 0 0.0227385283798594 0 0.719788612949577
"189" "OG0001159" 0 0 0 0 0 1 0.661279449454632 0
"190" "OG0001160" 0 1 0 0 0 0.356752839138047 0.356752839138047 0
"191" "OG0001162" 1 0 0 0 0 0 0 0
"192" "OG0001163" 0 1 0 0 0 0 0 0
"193" "OG0001167" 0 1 0 0 0 0.48184606960723 0.48184606960723 0
"194" "OG0001168" 0 0 0 0 0 1 1 0
"195" "OG0001172" 0 0 0.037273575677058 0 0 0 0 0
"196" "OG0001175" 0 0 0 0 0 1 1 0
"197" "OG0001176" 0 0.315751082184699 0 0 0 0.889523593159889 0.889523593159889 0
"198" "OG0001177" 1 0 0 0 0 0 0 0
"199" "OG0001179" 0 0 0 0 0 0 0 1
"200" "OG0001181" 1 0 0 0 0 0 0 0
"201" "OG0001183" 1 0 0 0 0 0 0 0
"202" "OG0001184" 0 0 0 0.0791793936441362 0 0.480995416463282 0.0251298340578984 0
"203" "OG0001186" 0 1 0 0 0 0.283942533575637 0.283942533575637 0
"204" "OG0001188" 0 0.896893998685366 0.00239286912650519 0 0 0.0324133160420508 0.0288545717108356 0
"205" "OG0001189" 0 1 0 0 0 0 0 0
"206" "OG0001190" 0.829494503042711 0 0 0.00393257482369235 0 0.0721911263649804 0.00523427876819532 0
"207" "OG0001192" 0 0 0.0552924137169397 0 0 0 0 0
"208" "OG0001194" 0 0 0 0 0 0.744915735860963 0.744915735860963 0
"209" "OG0001195" 1 1 0 0 0 0 0 0
